Feature_ID	Protein_ID	Product	liquid_1	liquid_2	bean_1	bean_2	agar_1	agar_2
gene0	P05648	chromosomal replication initiator protein DnaA	834.102798791558	576.594721208442	312.945767400471	295.518476599529	266.386502746654	403.542355253346
gene1	P05649	DNA polymerase III subunit beta	1055.40908947292	639.465590527079	323.554225185485	258.584582814515	242.993284063134	489.855971936866
gene2	P05650	hypothetical protein	183.757417916123	366.561974083877	166.054751568349	120.104462431651	169.660217618507	169.440308381493
gene3	P05651	DNA replication and repair protein RecF	773.920433786148	789.808230213852	429.268015551145	442.858468448855	462.013280428171	517.829469571829
gene4	P37525	DUF370 domain-containing protein	223.471367538006	198.102324461994	122.921246638132	79.4991253618685	128.286371040027	114.442000959973
gene5	P05652	DNA gyrase subunit B	1304.84974309899	867.638484901006	517.926554427306	639.976711572694	716.281538850171	679.242753149829
gene6	P05653	DNA gyrase subunit A	35.8677947138167	39.9415092861833	24.9651373372644	30.0742386627356	24.1819734399681	21.9108665600319
gene7	-	16S ribosomal RNA	987.041378489663	1132.54495551034	594.52955654392	755.46378945608	698.589546702193	705.680505297807
gene14	P08750	penicillin-binding protein 5	11.7354295683249	10.3356344316751	5.36977342874864	7.44507657125136	5.29928736405768	3.93872863594232
gene15	P37527	pyridoxal 5'-phosphate synthase lyase subunit PdxS	640.609514776189	1171.78579122381	639.196585278579	658.763278721421	411.931466789857	596.198385210143
gene16	P37528	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	378.88757279122	931.40116320878	654.45535391151	625.10323408849	698.088924886899	476.816807113101
gene17	P37464	serine--tRNA ligase	541.236072244703	428.951699755297	1355.98891455827	552.077189441727	548.110974882804	587.368507117196
gene18	-	tRNA-Ser	345.848277223206	832.466896776794	1559.58491367885	883.392984321152	704.737503331104	699.232968668896
gene19	P37529	deoxyadenosine/deoxycytidine kinase	368.098311024529	205.894532975471	355.424227593724	231.174730406276	369.385845491211	267.533402508789
gene21	P37531	hypothetical protein	210.687724326575	350.347493673425	125.157699905366	179.809648094634	143.49010442856	243.87171557144
gene22	P37532	hypothetical protein	233.56080789345	198.69801210655	113.631075878081	110.152180121919	122.490463865586	179.893072134414
gene23	P21335	tRNA-specific adenosine deaminase	9.60151812469687	10.0002638753031	8.12392155963655	8.40759044036345	16.5856844676394	15.4090915323606
gene24	-	signal recognition particle sRNA large type	13.6610951266085	13.6897128733915	6.55090187494022	6.53731012505978	9.83306948102949	9.52428051897051
gene25	P09122	DNA polymerase III subunit gamma/tau	70.774863013481	79.283882986519	42.7468423594504	42.9567096405496	47.5065780140169	26.8661939859831
gene26	P24281	YbaB/EbfC family nucleoid-associated protein	184.182707001651	191.458666998349	162.458027659578	111.011344340422	151.25708772812	151.76891427188
gene27	P24277	recombination protein RecR	566.185313881109	599.726756118891	335.719915026831	448.095524973169	546.745515564163	355.031240435837
gene28	P37533	hypothetical protein	295.118857844301	346.911028155699	195.316117800894	150.620454199106	258.747195974448	227.743888025552
gene29	P24282	sigma-K factor-processing regulatory protein BofA	322.242604881771	276.819363118229	93.9492276515506	143.977016348449	278.070218273752	102.665953726248
gene30	-	16S ribosomal RNA	56.7233039167144	61.0108420832856	38.9668580040143	26.7716619959857	16.3969260983431	45.1236839016569
gene37	P37535	toxic anion resistance protein	41.3172962636061	59.7617757363939	24.0653540098645	10.1653539901355	22.1374035806772	27.6729484193228
gene38	P37536	hypothetical protein	121.962303975538	134.623034024462	523.712553933967	411.519302066033	117.614370228857	162.641763771143
gene39	P37537	dTMP kinase	116.897725136939	169.754164863061	575.201053150815	789.808152849185	158.604309987326	138.460094012674
gene40	P37538	hypothetical protein	54.5000619949926	87.9773000050074	213.179276415314	265.680579584686	69.4414537770165	107.112738222983
gene41	P37539	hypothetical protein	83.2577331050771	65.0390268949229	263.446856678866	121.174527321134	71.7416830623622	90.7275449376377
gene42	P37540	DNA polymerase III subunit delta'	146.782500275062	234.171171724938	301.912986005162	311.850075994838	193.368034763503	221.731065236497
gene43	P37541	stage 0 sporulation protein YaaT	156.370066259493	50.2575617405072	160.911097616261	163.605332383739	135.043270146781	97.8438698532186
gene44	P37542	initiation-control protein YabA	157.635108434548	192.006591565452	210.448282891349	254.103923108651	146.392580415043	183.808231584957
gene45	P37543	SAM-dependent methyltransferase	288.411768929952	385.814941070048	405.545636704772	282.107127295228	181.567945101338	341.698138898662
gene46	O31414	hypothetical protein	234.294313745783	275.312674254217	219.671056176012	266.490581823988	207.938910858385	198.097109141616
gene47	P37544	rRNA (cytidine-2'-O-)-methyltransferase	149.718572608389	112.760953391611	171.368735261604	92.0420867383961	85.3913024426799	101.44690355732
